"ZIP Code","Total Cases","Deaths"
"60000","42","N/A"
"60001","8","N/A"
"60002","6,574","N/A"
"60004","15,437","N/A"
"60005","8,735","N/A"
"60006","43","N/A"
"60007","9,420","N/A"
"60008","7,249","N/A"
"60009","38","N/A"
"60010","11,876","N/A"
"60011","37","N/A"
"60012","3,603","N/A"
"60013","7,812","N/A"
"60014","16,377","N/A"
"60015","8,917","N/A"
"60016","19,605","N/A"
"60017","41","N/A"
"60018","9,517","N/A"
"60019","18","N/A"
"60020","2,977","N/A"
"60021","1,595","N/A"
"60022","2,406","N/A"
"60025","13,372","N/A"
"60026","4,750","N/A"
"60029","145","N/A"
"60030","10,108","N/A"
"60031","11,717","N/A"
"60033","4,543","N/A"
"60034","543","N/A"
"60035","8,646","N/A"
"60036","12","N/A"
"60038","15","N/A"
"60039","27","N/A"
"60040","1,614","N/A"
"60041","2,602","N/A"
"60042","2,252","N/A"
"60043","732","N/A"
"60044","2,912","N/A"
"60045","5,259","N/A"
"60046","10,124","N/A"
"60047","11,592","N/A"
"60048","7,682","N/A"
"60050","11,538","N/A"
"60051","7,341","N/A"
"60053","8,497","N/A"
"60055","28","N/A"
"60056","17,313","N/A"
"60057","10","N/A"
"60058","6","N/A"
"60059","6","N/A"
"60060","10,867","N/A"
"60061","7,752","N/A"
"60062","14,501","N/A"
"60063","15","N/A"
"60064","7,199","N/A"
"60065","28","N/A"
"60067","11,744","N/A"
"60068","12,428","N/A"
"60069","2,862","N/A"
"60070","4,738","N/A"
"60071","995","N/A"
"60072","257","N/A"
"60073","19,848","N/A"
"60074","10,932","N/A"
"60075","27","N/A"
"60076","12,159","N/A"
"60077","10,260","N/A"
"60078","36","N/A"
"60079","150","N/A"
"60080","10","N/A"
"60081","2,501","N/A"
"60082","44","N/A"
"60083","2,947","N/A"
"60084","4,592","N/A"
"60085","23,293","N/A"
"60086","34","N/A"
"60087","9,508","N/A"
"60088","2,247","N/A"
"60089","12,909","N/A"
"60090","12,936","N/A"
"60091","7,845","N/A"
"60092","7","N/A"
"60093","5,936","N/A"
"60094","12","N/A"
"60095","19","N/A"
"60096","1,833","N/A"
"60097","3,492","N/A"
"60098","10,578","N/A"
"60099","10,746","N/A"
"60101","13,728","N/A"
"60102","9,681","N/A"
"60103","13,406","N/A"
"60104","7,083","N/A"
"60105","19","N/A"
"60106","6,499","N/A"
"60107","12,491","N/A"
"60108","8,502","N/A"
"60109","204","N/A"
"60110","12,353","N/A"
"60111","61","N/A"
"60112","1,662","N/A"
"60113","106","N/A"
"60115","14,088","N/A"
"60116","19","N/A"
"60118","4,680","N/A"
"60119","3,231","N/A"
"60120","15,929","N/A"
"60121","75","N/A"
"60123","15,720","N/A"
"60124","7,385","N/A"
"60125","11","N/A"
"60126","14,792","N/A"
"60128","8","N/A"
"60129","80","N/A"
"60130","4,067","N/A"
"60131","6,243","N/A"
"60132","9","N/A"
"60133","12,383","N/A"
"60134","9,261","N/A"
"60135","2,480","N/A"
"60136","2,899","N/A"
"60137","12,087","N/A"
"60138","30","N/A"
"60139","11,041","N/A"
"60140","7,635","N/A"
"60141","331","N/A"
"60142","9,522","N/A"
"60143","3,730","N/A"
"60144","29","N/A"
"60145","714","N/A"
"60146","837","N/A"
"60147","47","N/A"
"60148","16,716","N/A"
"60150","539","N/A"
"60151","1,121","N/A"
"60152","3,503","N/A"
"60153","7,280","N/A"
"60154","5,531","N/A"
"60155","2,558","N/A"
"60156","9,735","N/A"
"60157","812","N/A"
"60159","85","N/A"
"60160","8,989","N/A"
"60161","31","N/A"
"60162","3,770","N/A"
"60163","1,833","N/A"
"60164","7,992","N/A"
"60165","1,531","N/A"
"60168","35","N/A"
"60169","9,750","N/A"
"60170","13","N/A"
"60171","3,218","N/A"
"60172","7,719","N/A"
"60173","3,576","N/A"
"60174","10,205","N/A"
"60175","7,917","N/A"
"60176","3,720","N/A"
"60177","8,616","N/A"
"60178","7,227","N/A"
"60179","6","N/A"
"60180","383","N/A"
"60181","9,744","N/A"
"60182","6","N/A"
"60183","15","N/A"
"60184","693","N/A"
"60185","11,926","N/A"
"60186","21","N/A"
"60187","9,434","N/A"
"60188","14,022","N/A"
"60189","9,566","N/A"
"60190","3,716","N/A"
"60191","4,802","N/A"
"60192","4,013","N/A"
"60193","11,450","N/A"
"60194","6,008","N/A"
"60195","1,353","N/A"
"60196","21","N/A"
"60199","7","N/A"
"60201","13,213","N/A"
"60202","9,356","N/A"
"60203","1,318","N/A"
"60204","35","N/A"
"60208","114","N/A"
"60301","829","N/A"
"60302","8,921","N/A"
"60303","76","N/A"
"60304","4,706","N/A"
"60305","2,858","N/A"
"60401","2,192","N/A"
"60402","20,866","N/A"
"60403","6,425","N/A"
"60404","6,653","N/A"
"60405","7","N/A"
"60406","6,690","N/A"
"60407","444","N/A"
"60408","1,769","N/A"
"60409","9,917","N/A"
"60410","4,270","N/A"
"60411","16,340","N/A"
"60412","35","N/A"
"60415","4,387","N/A"
"60416","3,101","N/A"
"60417","3,977","N/A"
"60418","3,068","N/A"
"60419","7,018","N/A"
"60420","1,571","N/A"
"60421","1,118","N/A"
"60422","3,185","N/A"
"60423","10,159","N/A"
"60424","620","N/A"
"60425","2,773","N/A"
"60426","7,225","N/A"
"60428","3,615","N/A"
"60429","4,862","N/A"
"60430","6,423","N/A"
"60431","9,979","N/A"
"60432","6,431","N/A"
"60433","5,404","N/A"
"60434","882","N/A"
"60435","16,400","N/A"
"60436","6,168","N/A"
"60437","52","N/A"
"60438","8,660","N/A"
"60439","7,042","N/A"
"60440","16,850","N/A"
"60441","10,606","N/A"
"60442","3,930","N/A"
"60443","5,904","N/A"
"60444","469","N/A"
"60445","5,400","N/A"
"60446","13,439","N/A"
"60447","4,854","N/A"
"60448","7,638","N/A"
"60449","2,346","N/A"
"60450","6,664","N/A"
"60451","11,496","N/A"
"60452","8,149","N/A"
"60453","16,932","N/A"
"60454","64","N/A"
"60455","4,904","N/A"
"60456","1,205","N/A"
"60457","3,878","N/A"
"60458","3,995","N/A"
"60459","8,139","N/A"
"60460","468","N/A"
"60461","1,225","N/A"
"60462","11,867","N/A"
"60463","4,629","N/A"
"60464","2,816","N/A"
"60465","5,010","N/A"
"60466","6,104","N/A"
"60467","7,420","N/A"
"60468","1,752","N/A"
"60469","1,726","N/A"
"60470","148","N/A"
"60471","3,595","N/A"
"60472","1,542","N/A"
"60473","7,622","N/A"
"60474","207","N/A"
"60475","2,275","N/A"
"60476","627","N/A"
"60477","11,235","N/A"
"60478","5,136","N/A"
"60479","178","N/A"
"60480","1,531","N/A"
"60481","3,218","N/A"
"60482","2,950","N/A"
"60484","1,745","N/A"
"60485","13","N/A"
"60487","7,936","N/A"
